GeneSymbol,BladderCancer,LungCancer,ProstateCancer,ColonCancer,PancreaticCancer,BladderArticles,LungArticles,ProstateArticles,ColonArticles,PancArticles
FAM212B,0,0,0,0,0,NA,NA,NA,NA,NA
FAM212A,0,0,0,0,0,NA,NA,NA,NA,NA
CHST9,0,0,0,0,0,NA,NA,NA,NA,NA
CHST8,0,0,0,0,0,NA,NA,NA,NA,NA
SMTNL1,0,0,0,0,0,NA,NA,NA,NA,NA
CHST1,0,1,0,0,0,NA,26607259,NA,NA,NA
TTTY25P,0,0,0,0,0,NA,NA,NA,NA,NA
CHST3,0,0,0,0,1,NA,NA,NA,NA,24401833
CHST2,0,0,0,0,0,NA,NA,NA,NA,NA
CHST5,0,0,0,1,0,NA,NA,NA,16369997,NA
CHST4,0,0,0,0,0,NA,NA,NA,NA,NA
CHST7,0,0,0,2,0,NA,NA,NA,"18351577,16369997",NA
CHST6,0,0,0,1,0,NA,NA,NA,16369997,NA
ITGAX,0,0,1,0,0,NA,NA,25411967,NA,NA
RPS4XP3,0,0,0,0,0,NA,NA,NA,NA,NA
RNA5SP356,0,0,0,0,0,NA,NA,NA,NA,NA
RPS4XP6,0,0,0,0,0,NA,NA,NA,NA,NA
RPS4XP7,0,0,0,0,0,NA,NA,NA,NA,NA
RPS4XP4,0,0,0,0,0,NA,NA,NA,NA,NA
BCL2A1,0,1,1,0,2,NA,25621074,26036629,NA,"26469962,24316551"
RPS4XP8,0,0,0,0,0,NA,NA,NA,NA,NA
RPS4XP9,0,0,0,0,0,NA,NA,NA,NA,NA
RNU4-76P,0,0,0,0,0,NA,NA,NA,NA,NA
ITGAV,0,2,2,0,0,NA,"26449830,26918447","23065910,24175814",NA,NA
SNRPCP6,0,0,0,0,0,NA,NA,NA,NA,NA
ITGAL,0,0,1,0,0,NA,NA,23059047,NA,NA
ITGAM,0,0,0,0,0,NA,NA,NA,NA,NA
ITGAD,0,0,0,0,0,NA,NA,NA,NA,NA
ITGAE,0,0,0,0,0,NA,NA,NA,NA,NA
PRSM2,0,0,0,0,0,NA,NA,NA,NA,NA
ATP1B3-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
IGF2R,0,1,0,3,2,NA,25402559,NA,"22377707,24194259,26861122","24758241,21852217"
SLC36A4,0,0,0,0,0,NA,NA,NA,NA,NA
SLC36A3,0,0,0,0,0,NA,NA,NA,NA,NA
CKS1B,0,0,0,0,0,NA,NA,NA,NA,NA
SLC36A1,1,0,0,0,1,20128809,NA,NA,NA,24419231
RPL31P13,0,0,0,0,0,NA,NA,NA,NA,NA
ARTN,0,0,0,0,0,NA,NA,NA,NA,NA
ART1,0,0,0,0,0,NA,NA,NA,NA,NA
ART3,0,0,0,0,0,NA,NA,NA,NA,NA
ART5,0,0,0,0,0,NA,NA,NA,NA,NA
ART4,0,0,0,0,0,NA,NA,NA,NA,NA
CRTAM,0,1,0,0,0,NA,23827383,NA,NA,NA
DPYD-IT1,0,0,0,0,0,NA,NA,NA,NA,NA
CADPS2,0,0,0,0,0,NA,NA,NA,NA,NA
RLF,0,1,0,0,0,NA,23716474,NA,NA,NA
RNU6-590P,0,0,0,0,0,NA,NA,NA,NA,NA
CRTAP,0,0,0,0,0,NA,NA,NA,NA,NA
MRPS24P1,0,0,0,0,0,NA,NA,NA,NA,NA
HPYR1,0,0,0,0,0,NA,NA,NA,NA,NA
CPEB4,0,1,0,0,1,NA,26209100,NA,NA,22138752
CPEB1,0,1,0,0,0,NA,24975429,NA,NA,NA
CPEB3,0,0,0,0,0,NA,NA,NA,NA,NA
CPEB2,0,0,0,0,0,NA,NA,NA,NA,NA
SRBD1,0,0,0,0,0,NA,NA,NA,NA,NA
ABAT,0,0,0,0,0,NA,NA,NA,NA,NA
C11orf98P1,0,0,0,0,0,NA,NA,NA,NA,NA
POU5F1B,0,0,3,1,1,NA,NA,"25315430,24581739,26934861",22142333,22142333
STAT5B,1,1,2,2,2,24402583,25137041,"26026053,26397390","22121102,22919439","23097626,27035235"
PHOX2A,0,0,0,0,0,NA,NA,NA,NA,NA
OR4A44P,0,0,0,0,0,NA,NA,NA,NA,NA
PHOX2B,0,0,0,0,0,NA,NA,NA,NA,NA
STAT5A,1,3,2,4,0,24535227,"24535227,26045996,25137041","26026053,23675504","22121102,23733954,25232032,23173124",NA
UPK2,3,0,0,0,0,"20015323,22590586,22055693",NA,NA,NA,NA
CFH,2,2,1,1,1,"21380501,22932760","26843839,26216416",23009291,24493722,21713765
CFI,0,2,1,0,0,NA,"24448185,25394898",26573805,NA,NA
ANKFY1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-347P,0,0,0,0,0,NA,NA,NA,NA,NA
CFB,0,1,0,0,1,NA,26908325,NA,NA,25057901
TPT1-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
CFP,0,0,0,1,3,NA,NA,NA,22213285,"26742463,22573550,25964528"
RNU5B-1,0,0,0,0,0,NA,NA,NA,NA,NA
REREP3,0,0,0,0,0,NA,NA,NA,NA,NA
AAAS,1,1,1,0,1,23081891,26952864,26817611,NA,26817611
RNU6-767P,0,0,0,0,0,NA,NA,NA,NA,NA
SIDT1,0,0,0,0,0,NA,NA,NA,NA,NA
SIDT2,0,0,0,0,0,NA,NA,NA,NA,NA
PISRT1,0,0,0,0,0,NA,NA,NA,NA,NA
SAGE1,0,1,0,0,0,NA,26252478,NA,NA,NA
TGIF2LX,0,0,0,0,0,NA,NA,NA,NA,NA
TRK-TTT1-1,0,0,0,0,0,NA,NA,NA,NA,NA
AAGAB,0,0,0,0,0,NA,NA,NA,NA,NA
C4orf19,0,0,0,0,0,NA,NA,NA,NA,NA
SLC7A6OS,0,0,0,0,0,NA,NA,NA,NA,NA
C4orf17,0,0,0,0,0,NA,NA,NA,NA,NA
EIF3EP3,0,0,0,0,0,NA,NA,NA,NA,NA
EIF3EP2,0,0,0,0,0,NA,NA,NA,NA,NA
EIF3EP1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-67P,0,0,0,0,0,NA,NA,NA,NA,NA
SCYL1,0,0,0,0,0,NA,NA,NA,NA,NA
IGLVI-38,0,0,0,0,0,NA,NA,NA,NA,NA
NBEAP1,0,0,0,0,0,NA,NA,NA,NA,NA
NBEAP2,0,0,0,0,0,NA,NA,NA,NA,NA
NBEAP3,0,0,0,0,0,NA,NA,NA,NA,NA
NBEAP4,0,0,0,0,0,NA,NA,NA,NA,NA
NBEAP5,0,0,0,0,0,NA,NA,NA,NA,NA
NBEAP6,0,0,0,0,0,NA,NA,NA,NA,NA
STAU2-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6ATAC39P,0,0,0,0,0,NA,NA,NA,NA,NA
ABCE1,0,4,0,1,0,NA,"26733164,25744244,26617714,25070080",NA,15809757,NA
TEN1-CDK3,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF197-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
RPL12P31,0,0,0,0,0,NA,NA,NA,NA,NA
RPL12P32,0,0,0,0,0,NA,NA,NA,NA,NA
MKRN2OS,0,0,0,0,0,NA,NA,NA,NA,NA
MSL3P1,0,0,0,0,0,NA,NA,NA,NA,NA
NCBP2-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
SNORD115-1,0,0,0,0,0,NA,NA,NA,NA,NA
NCBP2-AS2,0,0,0,0,0,NA,NA,NA,NA,NA
CLK2P1,0,0,0,0,0,NA,NA,NA,NA,NA
SPPL2A,0,0,0,0,0,NA,NA,NA,NA,NA
SPPL2C,0,0,0,0,0,NA,NA,NA,NA,NA
SIL1,0,0,0,0,0,NA,NA,NA,NA,NA
SPPL2B,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-163P,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF117,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF114,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF112,0,0,0,0,0,NA,NA,NA,NA,NA
SEZ6L,0,0,0,0,0,NA,NA,NA,NA,NA
FAM197Y7P,0,0,0,0,0,NA,NA,NA,NA,NA
MIR6780B,0,0,0,0,0,NA,NA,NA,NA,NA
MIR6780A,0,0,0,0,0,NA,NA,NA,NA,NA
PRKAR2A,1,0,1,0,0,26966728,NA,25485509,NA,NA
PRKAR2B,1,0,2,0,0,26966728,NA,"23413145,23410945",NA,NA
CRYBG3,0,0,0,0,0,NA,NA,NA,NA,NA
IGKV1OR10-1,0,0,0,0,0,NA,NA,NA,NA,NA
TMEM200B,0,0,0,0,0,NA,NA,NA,NA,NA
RNU7-104P,0,0,0,0,0,NA,NA,NA,NA,NA
RPL12P36,0,0,0,0,0,NA,NA,NA,NA,NA
ITGA2B,0,0,0,0,0,NA,NA,NA,NA,NA
RTEL1,0,0,1,0,0,NA,NA,23900074,NA,NA
FAM58DP,0,0,0,0,0,NA,NA,NA,NA,NA
PHACTR4,0,0,0,0,0,NA,NA,NA,NA,NA
NLGN2,0,0,0,0,0,NA,NA,NA,NA,NA
NLGN3,0,0,0,0,0,NA,NA,NA,NA,NA
PHACTR3,0,2,0,0,0,NA,"24915850,25719833",NA,NA,NA
NUP107,0,1,0,0,0,NA,25695197,NA,NA,NA
KRTAP2-3,0,0,0,0,0,NA,NA,NA,NA,NA
KRTAP2-2,0,0,0,0,0,NA,NA,NA,NA,NA
KRTAP2-1,0,0,0,0,0,NA,NA,NA,NA,NA
KRTAP2-4,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-1051P,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4708,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4709,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4704,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4705,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4706,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4707,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4700,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4701,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4703,0,0,0,0,0,NA,NA,NA,NA,NA
RPL12P38,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF736P3Y,0,0,0,0,0,NA,NA,NA,NA,NA
RNU7-36P,0,0,0,0,0,NA,NA,NA,NA,NA
SBF1P1,0,0,0,0,0,NA,NA,NA,NA,NA
VMP1,0,0,0,0,2,NA,NA,NA,NA,"23460482,24365149"
PPIAP8,0,0,0,0,0,NA,NA,NA,NA,NA
IGHVII-74-1,0,0,0,0,0,NA,NA,NA,NA,NA
PPIAP4,0,0,0,0,0,NA,NA,NA,NA,NA
PPIAP5,0,0,0,0,0,NA,NA,NA,NA,NA
PPIAP6,0,0,0,0,0,NA,NA,NA,NA,NA
PPIAP7,0,0,0,0,0,NA,NA,NA,NA,NA
EPN2-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
PPIAP2,0,0,0,0,0,NA,NA,NA,NA,NA
PPIAP3,0,0,0,0,0,NA,NA,NA,NA,NA
NR1D1,0,0,1,0,0,NA,NA,26498241,NA,NA
NR1D2,0,0,0,0,0,NA,NA,NA,NA,NA
CASP9,1,5,3,3,2,19252927,"24418602,26647102,26882807,23720679,24828377","24520293,24632829,25633637","22500158,24293398,20188076","21833720,26013168"
RNU6-356P,0,0,0,0,0,NA,NA,NA,NA,NA
BTG3P1,0,0,0,0,0,NA,NA,NA,NA,NA
OGFR,0,0,0,1,2,NA,NA,NA,15138586,"21807817,24605021"
RPS26P43,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P42,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P41,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P40,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P47,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P46,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P45,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P44,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P49,0,0,0,0,0,NA,NA,NA,NA,NA
RPS26P48,0,0,0,0,0,NA,NA,NA,NA,NA
PTCH2,1,0,0,0,0,22361633,NA,NA,NA,NA
PTCH1,2,2,3,2,13,"20334706,21861243","26802149,23864317","23662017,23564295,26710108","25295109,23551431","24961235,23580576,24782623,25552484,25278454,26500333,22170414,23662017,25559776,24519751,25482929,23791879,23786654"
AOAH-IT1,0,0,0,0,0,NA,NA,NA,NA,NA
TIMM44,0,0,0,0,0,NA,NA,NA,NA,NA
RAD9B,0,0,0,0,0,NA,NA,NA,NA,NA
RAD9A,0,0,0,0,0,NA,NA,NA,NA,NA
ERGIC2,0,0,0,0,0,NA,NA,NA,NA,NA
ERGIC3,0,1,0,0,0,NA,26177443,NA,NA,NA
VN2R10P,0,0,0,0,0,NA,NA,NA,NA,NA
ERGIC1,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3165,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3164,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3167,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3166,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3161,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3163,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3162,0,0,0,0,0,NA,NA,NA,NA,NA
B3GAT3,0,0,0,0,0,NA,NA,NA,NA,NA
B3GAT2,0,0,0,0,0,NA,NA,NA,NA,NA
B3GAT1,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3169,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3168,0,0,0,0,0,NA,NA,NA,NA,NA
SPG27,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-238P,0,0,0,0,0,NA,NA,NA,NA,NA
SPG24,0,0,0,0,0,NA,NA,NA,NA,NA
CALM2,0,0,0,0,0,NA,NA,NA,NA,NA
CALM3,1,0,0,0,0,25089838,NA,NA,NA,NA
SPG21,0,0,0,0,0,NA,NA,NA,NA,NA
CALM1,0,2,0,0,1,NA,"25786242,25179839",NA,NA,24650091
GSDMA,0,0,0,0,0,NA,NA,NA,NA,NA
GSDMB,0,0,0,0,0,NA,NA,NA,NA,NA
GSDMC,0,0,1,1,0,NA,NA,25149474,25043044,NA
GSDMD,0,0,0,0,0,NA,NA,NA,NA,NA
UPK1A,0,0,0,0,1,NA,NA,NA,NA,24698999
SPG29,0,0,0,0,0,NA,NA,NA,NA,NA
DLGAP2,1,0,0,0,1,18055845,NA,NA,NA,25070369
DLGAP3,0,0,0,0,0,NA,NA,NA,NA,NA
DLGAP1,0,0,0,0,0,NA,NA,NA,NA,NA
DLGAP4,0,0,0,0,0,NA,NA,NA,NA,NA
DLGAP5,0,1,0,0,0,NA,26550126,NA,NA,NA
MIR7973-1,0,0,0,0,0,NA,NA,NA,NA,NA
MIR7973-2,0,0,0,0,0,NA,NA,NA,NA,NA
FBXL14,0,0,0,0,0,NA,NA,NA,NA,NA
OIP5,0,0,0,0,0,NA,NA,NA,NA,NA
GCSAML-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU1-134P,0,0,0,0,0,NA,NA,NA,NA,NA
FBXL19,0,0,0,0,0,NA,NA,NA,NA,NA
INO80B-WBP1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-603P,0,0,0,0,0,NA,NA,NA,NA,NA
MIR506,0,0,0,0,1,NA,NA,NA,NA,26238203
PTPN18,0,0,0,0,0,NA,NA,NA,NA,NA
LRRFIP2,0,0,0,1,0,NA,NA,NA,19188145,NA
PTPN13,0,3,0,2,0,NA,"26683690,25837438,24894543",NA,"19672627,23108400",NA
PTPN12,0,1,0,0,0,NA,25868976,NA,NA,NA
PTPN11,0,4,0,1,2,NA,"24480804,26088100,25877780,24439672",NA,26365186,"25877780,26359300"
RPL32P35,0,0,0,0,0,NA,NA,NA,NA,NA
RPL32P32,0,0,0,0,0,NA,NA,NA,NA,NA
RPL32P33,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-960P,0,0,0,0,0,NA,NA,NA,NA,NA
PTPN14,0,0,0,0,0,NA,NA,NA,NA,NA
TRL-AAG4-1,0,0,0,0,0,NA,NA,NA,NA,NA
LYAR,0,0,0,0,0,NA,NA,NA,NA,NA
MIR508,0,0,0,0,0,NA,NA,NA,NA,NA
C2orf81,0,0,0,0,0,NA,NA,NA,NA,NA
C2orf80,0,0,0,0,0,NA,NA,NA,NA,NA
C2orf83,0,0,0,0,0,NA,NA,NA,NA,NA
C2orf82,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA86,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA87,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA84,0,0,0,0,0,NA,NA,NA,NA,NA
FAM210CP,0,0,0,0,0,NA,NA,NA,NA,NA
C2orf88,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA88,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA89,0,0,0,0,0,NA,NA,NA,NA,NA
LRRC37A10P,0,0,0,0,0,NA,NA,NA,NA,NA
MSMP,0,0,0,0,0,NA,NA,NA,NA,NA
MZB1,0,0,0,0,0,NA,NA,NA,NA,NA
TRAPPC6B,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL552P,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL480P,0,0,0,0,0,NA,NA,NA,NA,NA
HLA-DQB1,0,0,0,0,1,NA,NA,NA,NA,23715643
MSMB,0,0,20,0,0,NA,NA,"24037734,23608167,25563374,25354213,26967244,22730461,22887727,23269536,24464504,24332637,27038170,25979570,26501111,26563502,25371445,25227682,26939004,22948749,24005834,24411283",NA,NA
HLA-DQB3,0,0,0,0,0,NA,NA,NA,NA,NA
HLA-DQB2,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P16,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P17,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P14,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P15,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P12,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P13,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P10,0,0,0,0,0,NA,NA,NA,NA,NA
GK-IT1,0,0,0,0,0,NA,NA,NA,NA,NA
CDK7,1,2,2,3,0,20095141,"26151768,25490443","25271736,25788262","12663041,19723896,14729633",NA
FOXS1,0,0,0,0,0,NA,NA,NA,NA,NA
HSPE1P19,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP27,0,0,0,0,0,NA,NA,NA,NA,NA
CDK9,0,1,0,3,3,NA,26390342,NA,"18381438,19723896,14729633","21768779,23355973,26934555"
CHORDC2P,0,0,0,0,0,NA,NA,NA,NA,NA
TTTY11,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL569P,0,0,0,0,0,NA,NA,NA,NA,NA
NDUFA3P3,0,0,0,0,0,NA,NA,NA,NA,NA
CAMKK2,1,1,6,0,1,25089838,25080865,"25600663,23332598,25394900,23724116,26572708,26552607",NA,27003444
CAMKK1,0,1,0,0,0,NA,23737288,NA,NA,NA
MYDGF,0,0,0,0,0,NA,NA,NA,NA,NA
NDUFA3P6,0,0,0,0,0,NA,NA,NA,NA,NA
NDUFA3P5,0,0,0,0,0,NA,NA,NA,NA,NA
NDUFA3P4,0,0,0,0,0,NA,NA,NA,NA,NA
PPP1R1AP2,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP20,0,0,0,0,0,NA,NA,NA,NA,NA
PPP1R1AP1,0,0,0,0,0,NA,NA,NA,NA,NA
CHMP3,0,0,0,0,0,NA,NA,NA,NA,NA
RPL36AL,0,0,0,0,0,NA,NA,NA,NA,NA
CHMP7,0,0,0,0,0,NA,NA,NA,NA,NA
CHMP6,0,0,0,0,0,NA,NA,NA,NA,NA
CHMP5,0,0,0,0,0,NA,NA,NA,NA,NA
OR52N4,0,0,0,0,0,NA,NA,NA,NA,NA
OR52N5,0,0,0,0,0,NA,NA,NA,NA,NA
OR52N2,0,0,0,0,0,NA,NA,NA,NA,NA
OR52N1,0,0,0,0,0,NA,NA,NA,NA,NA
NCLP2,0,0,0,0,0,NA,NA,NA,NA,NA
SPDYE12P,0,0,0,0,0,NA,NA,NA,NA,NA
LY6G6C,0,0,0,0,0,NA,NA,NA,NA,NA
HOXA13,3,0,0,0,2,"21251473,18245534,26064257",NA,NA,NA,"25912306,25889214"
LY6G6E,0,0,0,0,0,NA,NA,NA,NA,NA
HOXA11,0,0,0,0,1,NA,NA,NA,NA,25912306
HOXA10,0,0,1,0,2,NA,NA,24951955,NA,"24464212,25912306"
RN7SL320P,0,0,0,0,0,NA,NA,NA,NA,NA
LIPT1P1,0,0,0,0,0,NA,NA,NA,NA,NA
COX4I1P1,0,0,0,0,0,NA,NA,NA,NA,NA
COX4I1P2,0,0,0,0,0,NA,NA,NA,NA,NA
GALNTL5,0,0,0,0,0,NA,NA,NA,NA,NA
RPS4XP2,0,0,0,0,0,NA,NA,NA,NA,NA
GALNTL6,0,0,0,0,0,NA,NA,NA,NA,NA
SMIM23,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-1092P,0,0,0,0,0,NA,NA,NA,NA,NA
RPS4XP1,0,0,0,0,0,NA,NA,NA,NA,NA
SPECC1,0,0,0,0,0,NA,NA,NA,NA,NA
SLC25A24P1,0,0,0,0,0,NA,NA,NA,NA,NA
TDH,0,0,0,2,0,NA,NA,NA,"21625458,16061205",NA
SLC25A24P2,0,0,0,0,0,NA,NA,NA,NA,NA
KRTAP11-1,0,0,0,0,0,NA,NA,NA,NA,NA
TDG,0,1,0,4,1,NA,25189484,NA,"23832862,24748645,22484915,22961839",26544625
SCAMP1-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
HN1,0,0,1,0,1,NA,NA,25169422,NA,20635390
RNU6-1329P,0,0,0,0,0,NA,NA,NA,NA,NA
ST13P9,0,0,0,0,0,NA,NA,NA,NA,NA
ENTPD6,0,0,0,0,0,NA,NA,NA,NA,NA
TBX2,2,3,0,0,2,"22284968,25394776","25027744,24712844,24531749",NA,NA,"25149433,21867776"
LRRC27,0,0,0,0,0,NA,NA,NA,NA,NA
LRRC26,0,0,0,0,0,NA,NA,NA,NA,NA
KIAA1524,0,1,0,0,0,NA,25599124,NA,NA,NA
LRRC24,0,0,0,0,0,NA,NA,NA,NA,NA
KIAA1522,0,1,0,0,0,NA,25045014,NA,NA,NA
MPDU1,0,0,0,0,0,NA,NA,NA,NA,NA
LRRC20,0,0,0,0,0,NA,NA,NA,NA,NA
LRRC29,0,0,0,0,0,NA,NA,NA,NA,NA
LRRC28,0,0,0,0,0,NA,NA,NA,NA,NA
GCNT4,0,0,0,0,0,NA,NA,NA,NA,NA
GCNT7,0,0,0,0,0,NA,NA,NA,NA,NA
GCNT6,0,0,0,0,0,NA,NA,NA,NA,NA
GCNT1,0,0,5,0,0,NA,NA,"24753248,26452038,24854630,26390303,26768364",NA,NA
GCNT3,0,0,2,0,2,NA,NA,"24753248,25086069",NA,"26880801,24892299"
GCNT2,0,0,2,0,0,NA,NA,"24753248,26678556",NA,NA
CCL3P1,0,0,0,0,0,NA,NA,NA,NA,NA
LPCAT4,0,0,0,0,0,NA,NA,NA,NA,NA
LPCAT2,0,0,1,0,0,NA,NA,25411967,NA,NA
LPCAT3,0,0,0,0,0,NA,NA,NA,NA,NA
RPL35AP,0,0,0,0,0,NA,NA,NA,NA,NA
LPCAT1,0,1,2,1,0,NA,26590902,"23941784,23949154",18974965,NA
NDUFB11P1,0,0,0,0,0,NA,NA,NA,NA,NA
GLC2A,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-1021P,0,0,0,0,0,NA,NA,NA,NA,NA
TAS2R42,0,0,0,0,0,NA,NA,NA,NA,NA
TAGLN,0,0,3,4,0,NA,NA,"26627478,24264315,26934553","23372686,18291675,20977730,26370611",NA
CCDC178,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC179,0,0,0,0,0,NA,NA,NA,NA,NA
ALPP,0,0,2,0,0,NA,NA,"24648873,24976226",NA,NA
CDC27P10,0,0,0,0,0,NA,NA,NA,NA,NA
CDC27P11,0,0,0,0,0,NA,NA,NA,NA,NA
MIR513B,0,0,0,0,0,NA,NA,NA,NA,NA
MIR513C,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC170,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC171,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC172,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC173,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC174,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC175,0,0,0,0,0,NA,NA,NA,NA,NA
CCDC177,0,0,0,0,0,NA,NA,NA,NA,NA
